,Technique,Number of source models,Split,Fraction of sampled points,MDAD,MDAD lower CI,MDAD upper CI
411,"Random (subtask stratified, equal)",200,unseen,1000,0.02,0.02,0.02
412,Diversity,200,seen,1000,0.02,0.02,0.02
413,Diversity,200,unseen,1000,0.025,0.020000000000000004,0.03
414,Stratified sampling (confidence),200,seen,1000,0.015,0.01,0.019999999999999997
415,Stratified sampling (confidence),200,unseen,1000,0.02,0.015,0.025
416,Anchor Points,200,seen,1000,0.025,0.02,0.030000000000000002
417,Anchor Points,200,unseen,1000,0.03,0.024999999999999994,0.035
418,tinyBenchmarks,200,seen,1000,0.01,0.005000000000000001,0.015
419,tinyBenchmarks,200,unseen,1000,0.02,0.02,0.02
420,Random (uniform),250,seen,10,0.2,0.16500000000000004,0.235
421,Random (uniform),250,unseen,10,0.21,0.185,0.235
422,"Random (subtask stratified, equal)",250,seen,10,0.23,0.205,0.255
423,"Random (subtask stratified, equal)",250,unseen,10,0.23,0.205,0.255
424,Diversity,250,seen,10,0.205,0.175,0.235
425,Diversity,250,unseen,10,0.22,0.18,0.26
426,Stratified sampling (confidence),250,seen,10,0.165,0.14,0.19
427,Stratified sampling (confidence),250,unseen,10,0.165,0.14,0.19
428,Anchor Points,250,seen,10,0.06,0.05499999999999999,0.065
429,Anchor Points,250,unseen,10,0.06,0.05,0.06999999999999999
430,tinyBenchmarks,250,seen,10,0.16,0.14,0.18
431,tinyBenchmarks,250,unseen,10,0.16,0.14,0.18
432,Random (uniform),250,seen,25,0.115,0.1,0.13
433,Random (uniform),250,unseen,25,0.12,0.105,0.135
434,"Random (subtask stratified, equal)",250,seen,25,0.115,0.1,0.13
435,"Random (subtask stratified, equal)",250,unseen,25,0.115,0.095,0.135
436,Diversity,250,seen,25,0.13,0.11,0.15000000000000002
437,Diversity,250,unseen,25,0.135,0.12,0.15000000000000002
438,Stratified sampling (confidence),250,seen,25,0.1,0.08,0.12000000000000001
439,Stratified sampling (confidence),250,unseen,25,0.1,0.08,0.12000000000000001
440,Anchor Points,250,seen,25,0.05,0.045,0.05500000000000001
441,Anchor Points,250,unseen,25,0.045,0.034999999999999996,0.055
442,tinyBenchmarks,250,seen,25,0.085,0.07,0.1
443,tinyBenchmarks,250,unseen,25,0.095,0.075,0.115
444,Random (uniform),250,seen,50,0.075,0.06499999999999999,0.085
445,Random (uniform),250,unseen,50,0.08,0.075,0.085
446,"Random (subtask stratified, equal)",250,seen,50,0.075,0.06999999999999999,0.08
447,"Random (subtask stratified, equal)",250,unseen,50,0.08,0.07,0.09
448,Diversity,250,seen,50,0.085,0.075,0.09500000000000001
449,Diversity,250,unseen,50,0.09,0.075,0.105
450,Stratified sampling (confidence),250,seen,50,0.065,0.055,0.07500000000000001
451,Stratified sampling (confidence),250,unseen,50,0.065,0.05500000000000001,0.075
452,Anchor Points,250,seen,50,0.035,0.02500000000000001,0.045
453,Anchor Points,250,unseen,50,0.035,0.02500000000000001,0.045
454,tinyBenchmarks,250,seen,50,0.065,0.05500000000000001,0.075
455,tinyBenchmarks,250,unseen,50,0.07,0.06,0.08000000000000002
456,Random (uniform),250,seen,100,0.05,0.04,0.060000000000000005
457,Random (uniform),250,unseen,100,0.055,0.05,0.06
458,"Random (subtask stratified, equal)",250,seen,100,0.055,0.05,0.06
459,"Random (subtask stratified, equal)",250,unseen,100,0.06,0.05,0.06999999999999999
460,Diversity,250,seen,100,0.06,0.05499999999999999,0.065
461,Diversity,250,unseen,100,0.065,0.05,0.08
462,Stratified sampling (confidence),250,seen,100,0.055,0.04,0.07
463,Stratified sampling (confidence),250,unseen,100,0.055,0.045,0.065
464,Anchor Points,250,seen,100,0.03,0.019999999999999997,0.04
465,Anchor Points,250,unseen,100,0.03,0.024999999999999994,0.035
466,tinyBenchmarks,250,seen,100,0.04,0.03,0.05
467,tinyBenchmarks,250,unseen,100,0.045,0.039999999999999994,0.05
468,Random (uniform),250,seen,250,0.03,0.03,0.03
469,Random (uniform),250,unseen,250,0.03,0.024999999999999994,0.035
470,"Random (subtask stratified, equal)",250,seen,250,0.03,0.024999999999999994,0.035
471,"Random (subtask stratified, equal)",250,unseen,250,0.035,0.03,0.04000000000000001
472,Diversity,250,seen,250,0.04,0.035,0.045
473,Diversity,250,unseen,250,0.045,0.035,0.05499999999999999
474,Stratified sampling (confidence),250,seen,250,0.03,0.024999999999999994,0.035
475,Stratified sampling (confidence),250,unseen,250,0.035,0.035,0.035
476,Anchor Points,250,seen,250,0.025,0.02,0.030000000000000002
477,Anchor Points,250,unseen,250,0.025,0.020000000000000004,0.03
478,tinyBenchmarks,250,seen,250,0.025,0.02,0.030000000000000002
479,tinyBenchmarks,250,unseen,250,0.025,0.020000000000000004,0.03
480,Random (uniform),250,seen,500,0.02,0.02,0.02
481,Random (uniform),250,unseen,500,0.025,0.020000000000000004,0.03
482,"Random (subtask stratified, equal)",250,seen,500,0.02,0.02,0.02
483,"Random (subtask stratified, equal)",250,unseen,500,0.025,0.025,0.025
484,Diversity,250,seen,500,0.025,0.020000000000000004,0.03
485,Diversity,250,unseen,500,0.03,0.024999999999999994,0.035
486,Stratified sampling (confidence),250,seen,500,0.02,0.02,0.02
487,Stratified sampling (confidence),250,unseen,500,0.025,0.02,0.030000000000000002
488,Anchor Points,250,seen,500,0.025,0.02,0.030000000000000002
489,Anchor Points,250,unseen,500,0.025,0.025,0.025
490,tinyBenchmarks,250,seen,500,0.02,0.015,0.025
491,tinyBenchmarks,250,unseen,500,0.025,0.025,0.025
492,Random (uniform),250,seen,1000,0.015,0.01,0.019999999999999997
493,Random (uniform),250,unseen,1000,0.02,0.02,0.02
494,"Random (subtask stratified, equal)",250,seen,1000,0.015,0.015,0.015
495,"Random (subtask stratified, equal)",250,unseen,1000,0.02,0.02,0.02
496,Diversity,250,seen,1000,0.02,0.02,0.02
497,Diversity,250,unseen,1000,0.025,0.02,0.030000000000000002
498,Stratified sampling (confidence),250,seen,1000,0.01,0.005000000000000001,0.015
499,Stratified sampling (confidence),250,unseen,1000,0.02,0.02,0.02
500,Anchor Points,250,seen,1000,0.025,0.02,0.030000000000000002
501,Anchor Points,250,unseen,1000,0.025,0.025,0.025
502,tinyBenchmarks,250,seen,1000,0.01,0.005000000000000001,0.015
503,tinyBenchmarks,250,unseen,1000,0.02,0.015,0.025
504,Random (uniform),300,seen,10,0.215,0.19,0.24
505,Random (uniform),300,unseen,10,0.225,0.195,0.255
506,"Random (subtask stratified, equal)",300,seen,10,0.225,0.19,0.26
507,"Random (subtask stratified, equal)",300,unseen,10,0.24,0.2,0.27999999999999997
508,Diversity,300,seen,10,0.185,0.125,0.245
509,Diversity,300,unseen,10,0.21,0.16999999999999998,0.25
510,Stratified sampling (confidence),300,seen,10,0.175,0.155,0.19499999999999998
511,Stratified sampling (confidence),300,unseen,10,0.17,0.155,0.18500000000000003
512,Anchor Points,300,seen,10,0.06,0.04999999999999999,0.07
513,Anchor Points,300,unseen,10,0.055,0.045,0.065
514,tinyBenchmarks,300,seen,10,0.16,0.14,0.18
515,tinyBenchmarks,300,unseen,10,0.16,0.15,0.17
516,Random (uniform),300,seen,25,0.12,0.10999999999999999,0.13
517,Random (uniform),300,unseen,25,0.12,0.10499999999999998,0.135
518,"Random (subtask stratified, equal)",300,seen,25,0.12,0.11,0.13
519,"Random (subtask stratified, equal)",300,unseen,25,0.12,0.11499999999999999,0.125
520,Diversity,300,seen,25,0.125,0.10999999999999999,0.14
521,Diversity,300,unseen,25,0.135,0.11,0.16000000000000003
522,Stratified sampling (confidence),300,seen,25,0.1,0.085,0.115
523,Stratified sampling (confidence),300,unseen,25,0.095,0.08,0.11
524,Anchor Points,300,seen,25,0.045,0.039999999999999994,0.05
525,Anchor Points,300,unseen,25,0.045,0.039999999999999994,0.05
526,tinyBenchmarks,300,seen,25,0.1,0.085,0.115
527,tinyBenchmarks,300,unseen,25,0.1,0.09,0.11000000000000001
528,Random (uniform),300,seen,50,0.07,0.05500000000000001,0.085
529,Random (uniform),300,unseen,50,0.08,0.07,0.09
530,"Random (subtask stratified, equal)",300,seen,50,0.075,0.06,0.09
531,"Random (subtask stratified, equal)",300,unseen,50,0.08,0.07,0.09
532,Diversity,300,seen,50,0.08,0.07,0.09
533,Diversity,300,unseen,50,0.085,0.08,0.09000000000000001
534,Stratified sampling (confidence),300,seen,50,0.065,0.06,0.07
535,Stratified sampling (confidence),300,unseen,50,0.065,0.05500000000000001,0.075
536,Anchor Points,300,seen,50,0.035,0.02500000000000001,0.045
537,Anchor Points,300,unseen,50,0.04,0.035,0.045
538,tinyBenchmarks,300,seen,50,0.065,0.05500000000000001,0.075
539,tinyBenchmarks,300,unseen,50,0.065,0.05500000000000001,0.075
540,Random (uniform),300,seen,100,0.055,0.05,0.06
541,Random (uniform),300,unseen,100,0.055,0.05,0.06
542,"Random (subtask stratified, equal)",300,seen,100,0.055,0.05,0.06
543,"Random (subtask stratified, equal)",300,unseen,100,0.055,0.05,0.06
544,Diversity,300,seen,100,0.055,0.05,0.06
545,Diversity,300,unseen,100,0.06,0.05,0.06999999999999999
546,Stratified sampling (confidence),300,seen,100,0.05,0.04,0.060000000000000005
547,Stratified sampling (confidence),300,unseen,100,0.05,0.045,0.05500000000000001
548,Anchor Points,300,seen,100,0.035,0.025,0.045000000000000005
549,Anchor Points,300,unseen,100,0.035,0.03,0.04000000000000001
550,tinyBenchmarks,300,seen,100,0.04,0.035,0.045
551,tinyBenchmarks,300,unseen,100,0.045,0.039999999999999994,0.05
552,Random (uniform),300,seen,250,0.03,0.024999999999999994,0.035
553,Random (uniform),300,unseen,250,0.035,0.03,0.04000000000000001
554,"Random (subtask stratified, equal)",300,seen,250,0.03,0.03,0.03
555,"Random (subtask stratified, equal)",300,unseen,250,0.035,0.03,0.04000000000000001
556,Diversity,300,seen,250,0.035,0.03,0.04000000000000001
557,Diversity,300,unseen,250,0.04,0.035,0.045
558,Stratified sampling (confidence),300,seen,250,0.03,0.024999999999999994,0.035
559,Stratified sampling (confidence),300,unseen,250,0.03,0.024999999999999994,0.035
560,Anchor Points,300,seen,250,0.025,0.02,0.030000000000000002
561,Anchor Points,300,unseen,250,0.03,0.024999999999999994,0.035
562,tinyBenchmarks,300,seen,250,0.025,0.025,0.025
563,tinyBenchmarks,300,unseen,250,0.03,0.025,0.034999999999999996
564,Random (uniform),300,seen,500,0.02,0.02,0.02
565,Random (uniform),300,unseen,500,0.025,0.02,0.030000000000000002
566,"Random (subtask stratified, equal)",300,seen,500,0.02,0.015,0.025
567,"Random (subtask stratified, equal)",300,unseen,500,0.025,0.020000000000000004,0.03
568,Diversity,300,seen,500,0.025,0.020000000000000004,0.03
569,Diversity,300,unseen,500,0.03,0.024999999999999994,0.035
570,Stratified sampling (confidence),300,seen,500,0.02,0.015,0.025
571,Stratified sampling (confidence),300,unseen,500,0.025,0.02,0.030000000000000002
572,Anchor Points,300,seen,500,0.025,0.015,0.035
573,Anchor Points,300,unseen,500,0.025,0.015,0.035
574,tinyBenchmarks,300,seen,500,0.015,0.009999999999999998,0.02
575,tinyBenchmarks,300,unseen,500,0.025,0.02,0.030000000000000002
576,Random (uniform),300,seen,1000,0.015,0.01,0.019999999999999997
577,Random (uniform),300,unseen,1000,0.02,0.02,0.02
578,"Random (subtask stratified, equal)",300,seen,1000,0.015,0.01,0.019999999999999997
579,"Random (subtask stratified, equal)",300,unseen,1000,0.02,0.02,0.02
580,Diversity,300,seen,1000,0.02,0.015,0.025
581,Diversity,300,unseen,1000,0.025,0.025,0.025
582,Stratified sampling (confidence),300,seen,1000,0.01,0.005000000000000001,0.015
583,Stratified sampling (confidence),300,unseen,1000,0.02,0.015,0.025
584,Anchor Points,300,seen,1000,0.025,0.02,0.030000000000000002
585,Anchor Points,300,unseen,1000,0.025,0.020000000000000004,0.03
586,tinyBenchmarks,300,seen,1000,0.01,0.005000000000000001,0.015
587,tinyBenchmarks,300,unseen,1000,0.02,0.02,0.02
