,Technique,Number of source models,Split,Fraction of sampled points,MDAD,MDAD lower CI,MDAD upper CI
413,Diversity,200,unseen,1000,0.015,0.01,0.019999999999999997
414,Stratified sampling (confidence),200,seen,1000,0.01,0.01,0.01
415,Stratified sampling (confidence),200,unseen,1000,0.015,0.01,0.019999999999999997
416,Anchor Points,200,seen,1000,0.025,0.02,0.030000000000000002
417,Anchor Points,200,unseen,1000,0.02,0.015,0.025
418,tinyBenchmarks,200,seen,1000,0.01,0.01,0.01
419,tinyBenchmarks,200,unseen,1000,0.01,0.005000000000000001,0.015
420,Random (uniform),250,seen,10,0.18,0.13999999999999999,0.22
421,Random (uniform),250,unseen,10,0.165,0.11500000000000002,0.215
422,"Random (subtask stratified, equal)",250,seen,10,0.215,0.15499999999999997,0.275
423,"Random (subtask stratified, equal)",250,unseen,10,0.215,0.19,0.24
424,Diversity,250,seen,10,0.17,0.125,0.21500000000000002
425,Diversity,250,unseen,10,0.16,0.12,0.2
426,Stratified sampling (confidence),250,seen,10,0.16,0.14,0.18
427,Stratified sampling (confidence),250,unseen,10,0.185,0.15,0.22
428,Anchor Points,250,seen,10,0.035,0.03,0.04000000000000001
429,Anchor Points,250,unseen,10,0.035,0.03,0.04000000000000001
430,tinyBenchmarks,250,seen,10,0.115,0.09,0.14
431,tinyBenchmarks,250,unseen,10,0.115,0.11000000000000001,0.12
432,Random (uniform),250,seen,25,0.1,0.085,0.115
433,Random (uniform),250,unseen,25,0.1,0.085,0.115
434,"Random (subtask stratified, equal)",250,seen,25,0.125,0.105,0.14500000000000002
435,"Random (subtask stratified, equal)",250,unseen,25,0.125,0.115,0.135
436,Diversity,250,seen,25,0.095,0.085,0.105
437,Diversity,250,unseen,25,0.09,0.08499999999999999,0.095
438,Stratified sampling (confidence),250,seen,25,0.075,0.04999999999999999,0.1
439,Stratified sampling (confidence),250,unseen,25,0.08,0.065,0.095
440,Anchor Points,250,seen,25,0.025,0.02,0.030000000000000002
441,Anchor Points,250,unseen,25,0.025,0.02,0.030000000000000002
442,tinyBenchmarks,250,seen,25,0.065,0.05,0.08
443,tinyBenchmarks,250,unseen,25,0.07,0.065,0.07500000000000001
444,Random (uniform),250,seen,50,0.07,0.065,0.07500000000000001
445,Random (uniform),250,unseen,50,0.07,0.065,0.07500000000000001
446,"Random (subtask stratified, equal)",250,seen,50,0.08,0.07,0.09
447,"Random (subtask stratified, equal)",250,unseen,50,0.075,0.06,0.09
448,Diversity,250,seen,50,0.065,0.05,0.08
449,Diversity,250,unseen,50,0.06,0.05499999999999999,0.065
450,Stratified sampling (confidence),250,seen,50,0.06,0.055,0.065
451,Stratified sampling (confidence),250,unseen,50,0.055,0.045,0.065
452,Anchor Points,250,seen,50,0.025,0.02,0.030000000000000002
453,Anchor Points,250,unseen,50,0.02,0.015,0.025
454,tinyBenchmarks,250,seen,50,0.05,0.045000000000000005,0.055
455,tinyBenchmarks,250,unseen,50,0.055,0.05,0.06
456,Random (uniform),250,seen,100,0.05,0.045,0.05500000000000001
457,Random (uniform),250,unseen,100,0.05,0.045,0.05500000000000001
458,"Random (subtask stratified, equal)",250,seen,100,0.045,0.04,0.049999999999999996
459,"Random (subtask stratified, equal)",250,unseen,100,0.045,0.039999999999999994,0.05
460,Diversity,250,seen,100,0.04,0.03,0.05
461,Diversity,250,unseen,100,0.045,0.039999999999999994,0.05
462,Stratified sampling (confidence),250,seen,100,0.04,0.035,0.045
463,Stratified sampling (confidence),250,unseen,100,0.035,0.030000000000000006,0.04
464,Anchor Points,250,seen,100,0.02,0.015,0.025
465,Anchor Points,250,unseen,100,0.02,0.02,0.02
466,tinyBenchmarks,250,seen,100,0.035,0.025,0.045000000000000005
467,tinyBenchmarks,250,unseen,100,0.04,0.035,0.045
468,Random (uniform),250,seen,250,0.025,0.02,0.030000000000000002
469,Random (uniform),250,unseen,250,0.03,0.025,0.034999999999999996
470,"Random (subtask stratified, equal)",250,seen,250,0.03,0.03,0.03
471,"Random (subtask stratified, equal)",250,unseen,250,0.035,0.03,0.04000000000000001
472,Diversity,250,seen,250,0.02,0.015,0.025
473,Diversity,250,unseen,250,0.03,0.025,0.034999999999999996
474,Stratified sampling (confidence),250,seen,250,0.025,0.025,0.025
475,Stratified sampling (confidence),250,unseen,250,0.025,0.02,0.030000000000000002
476,Anchor Points,250,seen,250,0.02,0.015,0.025
477,Anchor Points,250,unseen,250,0.02,0.02,0.02
478,tinyBenchmarks,250,seen,250,0.02,0.015,0.025
479,tinyBenchmarks,250,unseen,250,0.02,0.015,0.025
480,Random (uniform),250,seen,500,0.015,0.009999999999999998,0.02
481,Random (uniform),250,unseen,500,0.02,0.015,0.025
482,"Random (subtask stratified, equal)",250,seen,500,0.02,0.02,0.02
483,"Random (subtask stratified, equal)",250,unseen,500,0.02,0.015,0.025
484,Diversity,250,seen,500,0.015,0.015,0.015
485,Diversity,250,unseen,500,0.02,0.015,0.025
486,Stratified sampling (confidence),250,seen,500,0.02,0.015,0.025
487,Stratified sampling (confidence),250,unseen,500,0.02,0.015,0.025
488,Anchor Points,250,seen,500,0.02,0.015,0.025
489,Anchor Points,250,unseen,500,0.02,0.02,0.02
490,tinyBenchmarks,250,seen,500,0.015,0.015,0.015
491,tinyBenchmarks,250,unseen,500,0.02,0.02,0.02
492,Random (uniform),250,seen,1000,0.01,0.01,0.01
493,Random (uniform),250,unseen,1000,0.015,0.015,0.015
494,"Random (subtask stratified, equal)",250,seen,1000,0.015,0.01,0.019999999999999997
495,"Random (subtask stratified, equal)",250,unseen,1000,0.015,0.009999999999999998,0.02
496,Diversity,250,seen,1000,0.01,0.01,0.01
497,Diversity,250,unseen,1000,0.015,0.015,0.015
498,Stratified sampling (confidence),250,seen,1000,0.01,0.01,0.01
499,Stratified sampling (confidence),250,unseen,1000,0.015,0.015,0.015
500,Anchor Points,250,seen,1000,0.02,0.015,0.025
501,Anchor Points,250,unseen,1000,0.02,0.02,0.02
502,tinyBenchmarks,250,seen,1000,0.01,0.01,0.01
503,tinyBenchmarks,250,unseen,1000,0.015,0.01,0.019999999999999997
504,Random (uniform),300,seen,10,0.195,0.175,0.21500000000000002
505,Random (uniform),300,unseen,10,0.19,0.17,0.21
506,"Random (subtask stratified, equal)",300,seen,10,0.19,0.14,0.24
507,"Random (subtask stratified, equal)",300,unseen,10,0.2,0.16000000000000003,0.24
508,Diversity,300,seen,10,0.175,0.15,0.19999999999999998
509,Diversity,300,unseen,10,0.18,0.155,0.205
510,Stratified sampling (confidence),300,seen,10,0.15,0.13499999999999998,0.165
511,Stratified sampling (confidence),300,unseen,10,0.155,0.135,0.175
512,Anchor Points,300,seen,10,0.03,0.024999999999999994,0.035
513,Anchor Points,300,unseen,10,0.035,0.03,0.04000000000000001
514,tinyBenchmarks,300,seen,10,0.125,0.11,0.14
515,tinyBenchmarks,300,unseen,10,0.12,0.10999999999999999,0.13
516,Random (uniform),300,seen,25,0.1,0.095,0.10500000000000001
517,Random (uniform),300,unseen,25,0.105,0.09,0.12
518,"Random (subtask stratified, equal)",300,seen,25,0.12,0.10999999999999999,0.13
519,"Random (subtask stratified, equal)",300,unseen,25,0.12,0.11,0.13
520,Diversity,300,seen,25,0.1,0.09000000000000001,0.11
521,Diversity,300,unseen,25,0.095,0.075,0.115
522,Stratified sampling (confidence),300,seen,25,0.08,0.07,0.09
523,Stratified sampling (confidence),300,unseen,25,0.085,0.07,0.1
524,Anchor Points,300,seen,25,0.025,0.02,0.030000000000000002
525,Anchor Points,300,unseen,25,0.025,0.020000000000000004,0.03
526,tinyBenchmarks,300,seen,25,0.07,0.06000000000000001,0.08
527,tinyBenchmarks,300,unseen,25,0.075,0.06999999999999999,0.08
528,Random (uniform),300,seen,50,0.075,0.065,0.08499999999999999
529,Random (uniform),300,unseen,50,0.065,0.05500000000000001,0.075
530,"Random (subtask stratified, equal)",300,seen,50,0.07,0.07,0.07
531,"Random (subtask stratified, equal)",300,unseen,50,0.07,0.065,0.07500000000000001
532,Diversity,300,seen,50,0.07,0.055,0.08500000000000002
533,Diversity,300,unseen,50,0.065,0.05500000000000001,0.075
534,Stratified sampling (confidence),300,seen,50,0.05,0.04000000000000001,0.06
535,Stratified sampling (confidence),300,unseen,50,0.05,0.04000000000000001,0.06
536,Anchor Points,300,seen,50,0.025,0.02,0.030000000000000002
537,Anchor Points,300,unseen,50,0.025,0.02,0.030000000000000002
538,tinyBenchmarks,300,seen,50,0.055,0.045,0.065
539,tinyBenchmarks,300,unseen,50,0.05,0.04000000000000001,0.06
540,Random (uniform),300,seen,100,0.05,0.045,0.05500000000000001
541,Random (uniform),300,unseen,100,0.045,0.039999999999999994,0.05
542,"Random (subtask stratified, equal)",300,seen,100,0.045,0.045,0.045
543,"Random (subtask stratified, equal)",300,unseen,100,0.05,0.045,0.05500000000000001
544,Diversity,300,seen,100,0.045,0.04,0.049999999999999996
545,Diversity,300,unseen,100,0.045,0.039999999999999994,0.05
546,Stratified sampling (confidence),300,seen,100,0.04,0.035,0.045
547,Stratified sampling (confidence),300,unseen,100,0.04,0.035,0.045
548,Anchor Points,300,seen,100,0.02,0.015,0.025
549,Anchor Points,300,unseen,100,0.02,0.015,0.025
550,tinyBenchmarks,300,seen,100,0.04,0.035,0.045
551,tinyBenchmarks,300,unseen,100,0.04,0.035,0.045
552,Random (uniform),300,seen,250,0.025,0.025,0.025
553,Random (uniform),300,unseen,250,0.03,0.025,0.034999999999999996
554,"Random (subtask stratified, equal)",300,seen,250,0.025,0.020000000000000004,0.03
555,"Random (subtask stratified, equal)",300,unseen,250,0.03,0.03,0.03
556,Diversity,300,seen,250,0.025,0.020000000000000004,0.03
557,Diversity,300,unseen,250,0.03,0.024999999999999994,0.035
558,Stratified sampling (confidence),300,seen,250,0.02,0.015,0.025
559,Stratified sampling (confidence),300,unseen,250,0.025,0.02,0.030000000000000002
560,Anchor Points,300,seen,250,0.02,0.02,0.02
561,Anchor Points,300,unseen,250,0.02,0.015,0.025
562,tinyBenchmarks,300,seen,250,0.025,0.02,0.030000000000000002
563,tinyBenchmarks,300,unseen,250,0.02,0.010000000000000002,0.03
564,Random (uniform),300,seen,500,0.015,0.009999999999999998,0.02
565,Random (uniform),300,unseen,500,0.02,0.02,0.02
566,"Random (subtask stratified, equal)",300,seen,500,0.02,0.02,0.02
567,"Random (subtask stratified, equal)",300,unseen,500,0.02,0.02,0.02
568,Diversity,300,seen,500,0.015,0.015,0.015
569,Diversity,300,unseen,500,0.02,0.015,0.025
570,Stratified sampling (confidence),300,seen,500,0.015,0.009999999999999998,0.02
571,Stratified sampling (confidence),300,unseen,500,0.02,0.015,0.025
572,Anchor Points,300,seen,500,0.02,0.02,0.02
573,Anchor Points,300,unseen,500,0.02,0.015,0.025
574,tinyBenchmarks,300,seen,500,0.015,0.015,0.015
575,tinyBenchmarks,300,unseen,500,0.015,0.009999999999999998,0.02
576,Random (uniform),300,seen,1000,0.01,0.01,0.01
577,Random (uniform),300,unseen,1000,0.015,0.015,0.015
578,"Random (subtask stratified, equal)",300,seen,1000,0.015,0.01,0.019999999999999997
579,"Random (subtask stratified, equal)",300,unseen,1000,0.015,0.009999999999999998,0.02
580,Diversity,300,seen,1000,0.01,0.01,0.01
581,Diversity,300,unseen,1000,0.015,0.015,0.015
582,Stratified sampling (confidence),300,seen,1000,0.01,0.01,0.01
583,Stratified sampling (confidence),300,unseen,1000,0.015,0.01,0.019999999999999997
584,Anchor Points,300,seen,1000,0.02,0.02,0.02
585,Anchor Points,300,unseen,1000,0.02,0.015,0.025
586,tinyBenchmarks,300,seen,1000,0.01,0.01,0.01
587,tinyBenchmarks,300,unseen,1000,0.015,0.015,0.015
